20 32
######-############
###### ######   # #
###### ###### # # #
######        # # #
############### # #
#########       # #
######### ####### #
######### ####### #
########    ##### #
#         # ##### #
###### #### ##### #
###### #### ##### #
######      ##### #
########### ##### #
###########       #
################# #
################# #
################# #
################# #
### ############# #
### ############# #
### ############# #
### #######       #
### ####### #######
### ####### #######
### ####### #######
### ####### #######
### ####### #######
###         #######
########### #######
########### #######
###########+#######
